Date,Price,Daily_Return,Golden_Cross,EMA_crossover,RSI_14,MACD_Hist,ROC_5,BB_Width,BB_Pct,ATR_Pct,HV_20,Vol_Ratio
2016-01-01,33228.95,,0,0,,0.0,,,,1.2895080945982285,,
2016-01-04,33009.13,-0.6615315861620674,0,0,,-14.028398860403104,,,,1.260643141256168,,
2016-01-05,32983.47,-0.0777360687785333,0,0,,-23.69132333666552,,,,1.3004929102028626,,
2016-01-06,32968.26,-0.0461140080167399,0,0,,-29.390614668932276,,,,1.2057334247253848,,
2016-01-07,32682.5,-0.866773072039595,0,0,,-49.50569305553138,,,,1.18296974319892,,
2016-01-08,32534.85,-0.4517708253652608,0,0,,-68.67515080166801,-2.088841206237324,,,1.1523342143727586,,
2016-01-11,32320.05,-0.6602151231679287,0,0,,-90.37584876411731,-2.0875436583757234,,,1.1145718536704237,,
2016-01-12,32265.65,-0.1683165712924261,0,0,,-102.08315449315138,-2.1763022507941043,,,1.1017810675023747,,
2016-01-13,32154.17,-0.3455067540867884,0,0,,-110.32312335505394,-2.4693144254504307,,,1.1343264236200243,,
2016-01-14,31441.02,-2.2179082837467057,0,0,,-154.10360493345053,-3.79860781763941,,,1.3404171166359808,,
2016-01-15,31001.49,-1.3979508298394894,0,0,,-200.05212369885396,-4.7129770077317,,,1.5005064978971971,,
2016-01-18,30628.4,-1.2034582853920894,0,0,,-240.25482405086558,-5.2340574968169795,,,1.845849349978963,,
2016-01-19,31092.61,1.5156194904075937,0,0,,-220.76654549500068,-3.6355690959270937,,,1.8273331594477347,,
2016-01-20,30766.01,-1.0504103708244616,0,0,,-214.85120064084225,-4.317200537286459,,,1.7750524999679649,,
2016-01-21,30751.8,-0.0461873346592534,0,0,16.879627536367664,-197.3275104852047,-2.1921044546264756,,,1.6794131910739367,,
2016-01-22,30949.02,0.6413283124890201,0,0,23.712549679750538,-159.50383720748152,-0.16924992960015706,,,1.552412583447397,,
2016-01-25,31065.13,0.3751653525701393,0,0,27.491666104122146,-115.75201644168413,1.4258988389860283,,,1.500733942341455,,
2016-01-26,31074.38,0.0297761509448157,0,0,27.798525924682338,-77.13382371452633,-0.05863129534638967,,,1.4091575014213151,,
2016-01-27,31101.38,0.0868882983345198,0,0,28.746432269653894,-42.449151943797006,1.09006660272164,,,1.3576054477908783,,
2016-01-28,31193.73,0.2969321618526255,0,0,32.03323604916285,-7.780928177179135,1.4370866095643198,0.11420482480523257,0.3437175094412553,1.2567658906316215,,0.6418150756486364
2016-01-29,31298.6,0.3361893560019924,0,0,35.66259366805055,25.876352182980668,1.1295349578112512,0.10646255453048013,0.3915816494279173,1.199627259690935,13.041653396381594,1.2805484106091911
2016-02-01,31878.15,1.851680266849009,0,0,51.17826863484683,87.3696137687993,2.61714662066439,0.09916964427089485,0.5863346058297328,1.2679290752487522,14.986061777028976,1.2223920316750359
2016-02-02,31960.61,0.2586724762886128,0,0,52.91806543295517,131.16409519920194,2.8519635789997944,0.09125084039844061,0.6403760655801578,1.2235937346040076,15.062079296699798,1.253532463412198
2016-02-03,32084.06,0.3862567078663392,0,0,55.476125552706506,163.886481562173,3.1596025642592007,0.08284100053789559,0.7190689051667768,1.2246422428075667,15.18186749827182,0.9464088718574
2016-02-04,32478.98,1.2308916016239737,0,0,62.49610089609843,204.9047824289521,4.120219031196326,0.08059915512441686,0.8847822185317255,1.2208951503568206,15.650249302895192,1.0194828074188313
2016-02-08,32706.22,0.6996525137181075,0,1,65.83416737762136,237.80458936110102,4.497389659601403,0.08256260032555278,0.9595823221547389,1.2088476936333439,15.771308152255903,0.9920905378548805
2016-02-09,32444.2,-0.8011320170903335,0,1,59.28212540188634,232.12578437114388,1.7756676595097165,0.08364633584605954,0.8517932115871518,1.177486067336209,15.861313610533061,1.0262412221264015
2016-02-10,32144.59,-0.9234624370457634,0,1,52.809985217734415,199.63637756197218,0.5756460843519662,0.08280960414940323,0.7429158878069982,1.1791713941211732,16.205696202988936,1.2090838073651897
2016-02-11,31820.54,-1.00810120769933,0,1,46.85208194135145,150.03103794086795,-0.8213424360882016,0.08117856480422254,0.6277042580487743,1.2091011090086172,16.553674965648487,0.7175621456125032
2016-02-12,31464.16,-1.1199684229117437,0,1,41.329709016058985,89.89298094098814,-3.1245439358009386,0.0811654096589765,0.4878563766652078,1.2812826882867991,14.994883834305126,0.975400973148315
