Date,Price,Open,High,Low,Vol.,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window
2021-03-09,44222.91,"45,051.06","45,129.55","43,946.30",,-1.84%,-0.01855331062782047,-0.0049912442639939,-0.0273061035128387,25.46999931335449,0.8099994659423828,1,0,0,0.0
2021-03-10,43691.68,"44,222.91","44,424.04","43,620.84",,-1.20%,-0.012085285631857842,0.014176480593291,0.0217174326478189,24.030000686645508,-1.4399986267089844,1,0,0,0.0
2021-03-11,42779.76,"43,691.68","43,891.00","42,689.42",,-2.09%,-0.021092601418890522,0.0062052412163345,-0.0044934375786511,22.559999465942383,-1.470001220703125,1,0,0,0.0
2021-03-12,43788.08,"42,779.76","43,986.18","42,779.76",,2.36%,0.023296540684857717,0.0100882186441516,0.0310388340940108,21.90999984741211,-0.6499996185302734,1,0,0,0.0
2021-03-15,44766.59,"43,788.08","44,839.19","43,788.08",,2.23%,0.022100468050643893,0.0013456523680361,-0.0179886749228297,20.690000534057617,-1.2199993133544922,3,1,0,0.0
2021-03-16,44857.06,"44,766.59","44,910.93","44,545.43",,0.20%,0.0020188874416281442,0.0059460827330184,0.0024047744141169,20.030000686645508,-0.6599998474121094,1,0,0,0.0
2021-03-17,45450.31,"44,857.06","45,540.63","44,857.06",,1.32%,0.013138651564819095,-0.0012621927144444,0.0042408315726088,19.790000915527344,-0.239999771118164,1,0,0,0.0
2021-03-18,44724.09,"45,450.31","45,612.95","44,641.49",,-1.60%,-0.016107358656831924,0.0034039828178019,0.001287160487581,19.229999542236328,-0.5600013732910156,1,0,0,0.0
2021-03-19,44901.31,"44,724.09","45,172.33","44,393.28",,0.40%,0.003954687643683382,-0.0146562573083652,-0.018546440821772,21.57999992370605,2.3500003814697266,1,0,0,0.0
2021-03-22,45407.33,"44,901.31","45,465.13","44,735.59",,1.13%,0.011206575490395762,-0.001852206465503,0.0122792802639219,20.950000762939453,-0.6299991607666016,3,1,0,0.0
2021-03-24,45544.19,"45,407.33","45,593.61","45,258.99",,0.30%,0.0030095176704537023,0.0079534830920225,-0.0029631834205125,18.8799991607666,-2.070001602172852,2,1,0,0.0
2021-03-25,45726.16,"45,544.20","46,000.11","45,544.20",,0.40%,0.003987499579272066,-0.0050962451081805,-0.0231433003827048,21.200000762939453,0.9000015258789062,1,0,0,0.0
2021-03-26,45521.63,"45,726.16","45,757.56","45,436.91",,-0.45%,-0.00448296539644733,0.0056097036246496,0.0046330989096895,19.809999465942383,-1.3900012969970703,1,0,0,0.0
