Date,Close,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,cpi,kibor_rate,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,Golden_Cross,EMA_crossover,RSI_14,RSI_OB,RSI_OS,MACD_Line,MACD_Signal,MACD_Hist,ROC_5,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_Pct,True_Range,ATR_14,ATR_Pct,HV_20,Trend_Regime,kibor_rate_ma_5,kibor_rate_ma_20,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,rolling_max_close_63,drawdown_63,max_drawdown_63,days_since_high_63,rolling_max_close_252,drawdown_252,max_drawdown_252,days_since_high_252
2023-03-16,41694.09,-0.004306672,-0.006273955,-0.017289972,0.015392091667022633,2.409999847,1,0,0,0,0.006202944124607645,-0.414936,219.1385467313441,21.15,41608.577000000005,41195.994,40741.6156,41449.9105,41574.14166501795,41347.591119610624,41076.586348516794,0.0,1.0,57.872700244515634,0.0,0.0,267.9798850617808,208.1877163145488,59.79216874723201,0.26102823240961026,42158.06356317961,40233.92443682039,41195.994,0.04670694743666637,0.7588669359592902,479.52999999999884,405.24957707528466,0.9719592802607868,9.678007427937874,0.0111526848729092,21.142000000000003,20.344,0.03999999999999915,2.3299999999999983,0.0013776881479361514,-0.000965672285420438,0.0015069195554275883,0.0054791069304742646,0.00638684257476041,42466.59,-0.018190770674075818,-0.11024401903327574,25.0,46601.54,-0.10530660574736384,-0.1772329841460175,228.0
2023-03-17,41329.95,-0.008771973,0.017393039,0.015178087,-0.011638865338509951,-3.149999619,1,0,0,0,0.0,-0.414936,219.1385467313441,21.15,41607.872,41206.561,40748.0642,41445.3707,41529.74318046923,41345.911012981036,41086.52217798673,0.0,1.0,51.41370616565608,0.0,0.0,233.02034170807747,213.15424139325452,19.866100314822944,-1.1100192444490231,42169.693767541634,40243.42823245837,41206.561,0.04674657356344939,0.5640560700239399,538.0699999999997,422.95896679858004,1.0233715908162968,10.248724238911949,0.011251989732557671,21.148,20.4575,0.029999999999997584,2.2699999999999996,-0.004297411952608465,0.0013776881479361514,-0.000965672285420438,0.0050096740357346015,0.016378303100400116,42466.59,-0.026765511429102218,-0.11024401903327574,26.0,46601.54,-0.11312051060973527,-0.1772329841460175,229.0
2023-03-20,40918.45,-0.010006357,-0.011761725,-0.006096784,0.011407449493226253,2.520000458,3,1,0,0,-0.023865720608376922,-0.414936,219.1385467313441,21.16,41556.284,41218.8015,40756.337999999996,41443.38855,41418.598965838464,41305.20044031618,41079.93111218333,0.0,1.0,45.26554767451742,0.0,0.0,170.148672793257,204.55312767325503,-34.40445487999804,-2.241926948635653,42159.37512305741,40278.22787694259,41218.8015,0.0456380869326058,0.34033599675925036,488.7900000000009,431.7364378921028,1.0551143503532094,10.126694735274103,0.011347032699552284,21.154,20.5685,0.030000000000001137,2.219999999999999,-0.00873361188600108,-0.004297411952608465,0.0013776881479361514,0.0015069195554275883,0.0023545491932168705,42466.59,-0.036455481827007974,-0.11024401903327574,27.0,46601.54,-0.1219506908999145,-0.1772329841460175,230.0
2023-03-21,40877.98,-0.00098953,0.009569931,0.003715502,0.0128796068468369,-1.36000061,1,0,0,0,0.014601998989478948,-0.414936,219.1385467313441,21.18,41510.613,41215.2085,40757.8676,41439.892400000004,41320.30460841329,41264.51277933369,41072.01146072516,0.0,1.0,44.69941781929626,0.0,0.0,115.72285044924502,186.78707222845304,-71.06422177920803,-2.2442135782514083,42160.64460992454,40269.772390075465,41215.2085,0.04587802145533419,0.3216545272282256,293.38000000000466,413.288912839823,1.0110306645284894,9.839889538430391,0.01122092314760851,21.16,20.6775,0.030000000000001137,2.1799999999999997,-0.009956460145729706,-0.00873361188600108,-0.004297411952608465,-0.000965672285420438,-0.0024047691853590347,42466.59,-0.037408466279020613,-0.11024401903327574,28.0,46601.54,-0.12281911713647231,-0.1772329841460175,231.0
2023-03-22,40376.1,-0.012353506,0.013044954,0.008966347,-0.003892350006710497,-2.770000458,1,0,0,0,-0.0009238214937645876,-0.414936,219.1385467313441,21.21,41412.33,41175.6335,40750.2256,41433.93085,41148.63104324723,41179.902038444765,41044.72081520653,0.0,0.0,38.30179319890187,0.0,0.0,31.726746328437002,155.77500704844982,-124.04826072001282,-3.5772521590942796,42192.987935288846,40158.27906471116,41175.6335,0.04941536286448839,0.10705262970962251,644.010000000002,444.05172446118024,1.0997885493179882,10.528750953364606,0.010439399874144639,21.169999999999998,20.785,0.05000000000000071,2.150000000000002,-0.0009890403962025118,-0.009956460145729706,-0.00873361188600108,0.0013776881479361514,0.0005864323646795899,42466.59,-0.049226697975985334,-0.11024401903327574,29.0,46601.54,-0.13358871831274255,-0.1772329841460175,232.0
2023-03-24,39942.05,-0.010808372,-0.017193423,0.003930367,-0.0027566966686186313,0.880001068,2,1,0,0,0.0033738439387659288,-0.414936,219.1385467313441,21.21,41247.98100000001,41130.81050000001,40732.9888,41425.8753,40929.25267174773,41062.01136811669,41001.47882245333,0.0,0.0,33.796590535320405,0.0,0.0,-69.06879674430093,110.80624628989968,-179.8750430342006,-4.202130325904685,42281.02253481418,39980.59846518583,41130.81050000001,0.05592946119134589,-0.016757112610135204,517.8099999999977,453.88616119968924,1.1363617070222716,10.81837511414156,0.009766572788295066,21.182,20.847,0.060000000000002274,1.240000000000002,-0.012277514691283797,-0.0009890403962025118,-0.009956460145729706,-0.004297411952608465,0.0054791069304742646,42466.59,-0.0594476740421116,-0.11024401903327574,30.0,46601.54,-0.1429027881911198,-0.1772329841460175,233.0
2023-03-27,40000.37,0.00145905,0.006540537,-0.002582827,0.008703610938289166,-0.870000839,3,1,0,0,0.0019433086455229566,-0.414936,219.1385467313441,22.01,41068.631,41095.441000000006,40726.5272,41417.19735,40760.364913248144,40960.902666391295,40962.21965294536,0.0,0.0,34.904510931343495,0.0,0.0,-142.60024733696628,60.12494756452649,-202.72519490149276,-3.216989132578174,42340.05851992406,39850.82348007595,41095.441000000006,0.0605720483653675,0.06007729986525304,221.67000000000553,422.92400637306474,1.0573002359054795,10.825196439075608,0.009058317155016581,21.354000000000003,20.949499999999997,0.860000000000003,2.0500000000000007,-0.010750171512355022,-0.012277514691283797,-0.0009890403962025118,-0.00873361188600108,0.0050096740357346015,42466.59,-0.058074359160930844,-0.11024401903327574,31.0,46601.54,-0.14165132740248498,-0.1772329841460175,234.0
2023-03-28,40082.37,0.002047883,0.001868279,-0.005445257,0.0013673970781146166,-1.13999939,1,0,0,0,0.005929856632897165,-0.414936,219.1385467313441,22.01,40891.183000000005,41060.353,40733.7596,41407.53555,40637.093110839385,40877.232888639744,40927.715744986715,0.0,0.0,36.51327423520856,0.0,0.0,-192.04397361513838,9.691163328593511,-201.7351369437319,-2.0432836532175425,42379.27366073374,39741.43233926626,41060.353,0.06424302590548796,0.12924873757913155,203.39999999999418,393.6541388566553,0.9821129310882948,10.831220484888156,0.008017757339541161,21.524,21.0515,0.8500000000000014,2.0400000000000027,0.0014601153421018864,-0.010750171512355022,-0.012277514691283797,-0.009956460145729706,0.0015069195554275883,42466.59,-0.05614342945831052,-0.11024401903327574,32.0,46601.54,-0.13989172889994617,-0.1772329841460175,235.0
2023-03-29,39879.89,-0.0050644,-0.00224739,0.014199218,0.011322584769508965,-0.630001068,1,0,0,0,-0.005724855892681277,-0.414936,219.1385467313441,22.01,40697.529,41028.829000000005,40764.5132,41402.53535,40499.4198179595,40782.24785162644,40886.62453930097,0.0,0.0,34.26161798913175,0.0,0.0,-244.74565119928593,-41.19619957698238,-203.54945162230354,-2.4416323898588055,42430.63287259335,39627.02512740666,41028.829000000005,0.06833262887387517,0.09019267157735014,319.8600000000006,383.81492034243473,0.9624272292186231,10.726923567859943,0.0064839680214801125,21.69,21.149,0.8300000000000018,1.9500000000000028,0.002049981037675508,0.0014601153421018864,-0.010750171512355022,-0.0009890403962025118,-0.000965672285420438,42466.59,-0.06091141294839064,-0.11024401903327574,33.0,46601.54,-0.1442366496901175,-0.1772329841460175,236.0
2023-03-30,39848.35,-0.000791188,0.014430344,0.002815746,0.012308519354162162,-0.849998474,1,0,0,0,0.004912734899786745,-0.414936,219.1385467313441,22.03,40494.96,41000.608,40785.6584,41396.5037,40381.043487421404,40693.30519909059,40845.90789070093,0.0,0.0,33.91082260114574,0.0,0.0,-285.7630265008265,-90.1095649617512,-195.65346153907532,-1.3070851320459376,42475.455392135635,39525.760607864366,41000.608,0.07194270836840441,0.10936365140413316,208.37999999999738,360.4235976301098,0.9044881347160166,10.709715185197663,0.005270225084805788,21.854000000000003,21.2455,0.8200000000000003,1.9299999999999997,-0.005051597497852667,0.002049981037675508,0.0014601153421018864,-0.012277514691283797,0.0013776881479361514,42466.59,-0.06165411444620339,-0.11024401903327574,34.0,46601.54,-0.14491345135804534,-0.1772329841460175,237.0
