Date,Close,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,RSI_OB,RSI_OS,MACD_Hist,True_Range,Trend_Regime,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,days_since_high_63,days_since_high_252
2023-03-16,41694.09,-0.004306672,-0.006273955,-0.017289972,0.015392091667022633,2.409999847,0,0,0,0.006202944124607645,-0.414936,0.0,0.0,59.79216874723201,479.52999999999884,0.0111526848729092,0.03999999999999915,2.3299999999999983,0.0013776881479361514,-0.000965672285420438,0.0015069195554275883,0.0054791069304742646,0.00638684257476041,25.0,228.0
2023-03-17,41329.95,-0.008771973,0.017393039,0.015178087,-0.011638865338509951,-3.149999619,0,0,0,0.0,-0.414936,0.0,0.0,19.866100314822944,538.0699999999997,0.011251989732557671,0.029999999999997584,2.2699999999999996,-0.004297411952608465,0.0013776881479361514,-0.000965672285420438,0.0050096740357346015,0.016378303100400116,26.0,229.0
2023-03-20,40918.45,-0.010006357,-0.011761725,-0.006096784,0.011407449493226253,2.520000458,1,0,0,-0.023865720608376922,-0.414936,0.0,0.0,-34.40445487999804,488.7900000000009,0.011347032699552284,0.030000000000001137,2.219999999999999,-0.00873361188600108,-0.004297411952608465,0.0013776881479361514,0.0015069195554275883,0.0023545491932168705,27.0,230.0
2023-03-21,40877.98,-0.00098953,0.009569931,0.003715502,0.0128796068468369,-1.36000061,0,0,0,0.014601998989478948,-0.414936,0.0,0.0,-71.06422177920803,293.38000000000466,0.01122092314760851,0.030000000000001137,2.1799999999999997,-0.009956460145729706,-0.00873361188600108,-0.004297411952608465,-0.000965672285420438,-0.0024047691853590347,28.0,231.0
2023-03-22,40376.1,-0.012353506,0.013044954,0.008966347,-0.003892350006710497,-2.770000458,0,0,0,-0.0009238214937645876,-0.414936,0.0,0.0,-124.04826072001282,644.010000000002,0.010439399874144639,0.05000000000000071,2.150000000000002,-0.0009890403962025118,-0.009956460145729706,-0.00873361188600108,0.0013776881479361514,0.0005864323646795899,29.0,232.0
2023-03-24,39942.05,-0.010808372,-0.017193423,0.003930367,-0.0027566966686186313,0.880001068,1,0,0,0.0033738439387659288,-0.414936,0.0,0.0,-179.8750430342006,517.8099999999977,0.009766572788295066,0.060000000000002274,1.240000000000002,-0.012277514691283797,-0.0009890403962025118,-0.009956460145729706,-0.004297411952608465,0.0054791069304742646,30.0,233.0
2023-03-27,40000.37,0.00145905,0.006540537,-0.002582827,0.008703610938289166,-0.870000839,1,0,0,0.0019433086455229566,-0.414936,0.0,0.0,-202.72519490149276,221.67000000000553,0.009058317155016581,0.860000000000003,2.0500000000000007,-0.010750171512355022,-0.012277514691283797,-0.0009890403962025118,-0.00873361188600108,0.0050096740357346015,31.0,234.0
2023-03-28,40082.37,0.002047883,0.001868279,-0.005445257,0.0013673970781146166,-1.13999939,0,0,0,0.005929856632897165,-0.414936,0.0,0.0,-201.7351369437319,203.39999999999418,0.008017757339541161,0.8500000000000014,2.0400000000000027,0.0014601153421018864,-0.010750171512355022,-0.012277514691283797,-0.009956460145729706,0.0015069195554275883,32.0,235.0
2023-03-29,39879.89,-0.0050644,-0.00224739,0.014199218,0.011322584769508965,-0.630001068,0,0,0,-0.005724855892681277,-0.414936,0.0,0.0,-203.54945162230354,319.8600000000006,0.0064839680214801125,0.8300000000000018,1.9500000000000028,0.002049981037675508,0.0014601153421018864,-0.010750171512355022,-0.0009890403962025118,-0.000965672285420438,33.0,236.0
2023-03-30,39848.35,-0.000791188,0.014430344,0.002815746,0.012308519354162162,-0.849998474,0,0,0,0.004912734899786745,-0.414936,0.0,0.0,-195.65346153907532,208.37999999999738,0.005270225084805788,0.8200000000000003,1.9299999999999997,-0.005051597497852667,0.002049981037675508,0.0014601153421018864,-0.012277514691283797,0.0013776881479361514,34.0,237.0
2023-03-31,40000.83,0.003819205,0.00583812,0.009919986,0.004659923907264639,-0.100000381,0,0,0,0.0008121209928946255,-0.414936,0.0,0.0,-169.8955010874937,271.3899999999994,0.0038732125732698634,0.8599999999999994,1.9299999999999997,-0.0007908747993036203,-0.005051597497852667,0.002049981037675508,-0.010750171512355022,-0.004297411952608465,35.0,238.0
2023-04-03,39889.9,-0.002777045,0.013996384,-0.00126608,0.00815797160985232,-0.319999695,1,0,0,0.0003529419720665419,-0.414936,0.0,0.0,-150.7152631156855,217.14999999999418,0.0013729311899583264,0.17999999999999972,1.2900000000000027,0.003826507245594968,-0.0007908747993036203,-0.005051597497852667,0.0014601153421018864,-0.00873361188600108,36.0,239.0
2023-04-04,39687.26,-0.00509293,0.003803184,0.002025272,-0.00021965820367192437,-0.150001526,0,0,0,0.003873947846558252,-0.414936,0.0,0.0,-142.17248130837652,438.1800000000003,-0.0013742857107059863,0.34999999999999787,1.370000000000001,-0.0027731924562565125,0.003826507245594968,-0.0007908747993036203,0.002049981037675508,-0.009956460145729706,37.0,240.0
2023-04-05,39717.15,0.000752855,-0.005563628,0.0,-0.007716904741205301,0.450000763,0,0,0,0.0070052825884085925,-0.414936,0.0,0.0,-125.58131647085392,245.0699999999997,-0.0036760522938578443,-0.030000000000001137,0.9600000000000009,-0.005079982652250292,-0.0027731924562565125,0.003826507245594968,-0.005051597497852667,-0.0009890403962025118,38.0,241.0
2023-04-06,40350.89,0.015830367,-0.002621739,-0.007871129,0.0033145875521168678,0.079999924,0,0,0,0.004874640263211969,-0.414936,0.0,0.0,-65.99279583045396,657.1800000000003,-0.00518456406820519,0.03999999999999915,1.0,0.0007531384126795437,-0.005079982652250292,-0.0027731924562565125,-0.0007908747993036203,-0.012277514691283797,39.0,242.0
2023-04-07,40049.65,-0.007493517,0.003893361,0.00407023,0.0,-0.680000305,0,0,0,-0.00520213205087862,-0.414936,0.0,0.0,-42.09592267290543,544.8199999999997,-0.006675542731310906,0.0,0.9600000000000009,0.01595633120704787,0.0007531384126795437,-0.005079982652250292,0.003826507245594968,-0.010750171512355022,40.0,243.0
2023-04-10,39835.9,-0.005351419,0.003893361,0.00407023,0.0008819647869089978,-0.680000305,1,0,0,-0.031217701120866935,-0.414936,0.0,0.0,-36.14324374382477,367.9499999999971,-0.008772660262776793,-0.10000000000000142,0.9699999999999989,-0.007465510673990039,0.01595633120704787,0.0007531384126795437,-0.0027731924562565125,0.0014601153421018864,41.0,244.0
2023-04-11,39804.71,-0.000783269,0.001025817,0.001015104,0.004398528445385584,0.569999695,0,0,0,0.02979846757359191,-0.414936,0.0,0.0,-30.01675691606181,196.97999999999593,-0.011251639424563286,-0.28000000000000114,0.9499999999999993,-0.005337125293229827,-0.007465510673990039,0.01595633120704787,-0.005079982652250292,0.002049981037675508,42.0,245.0
2023-04-12,40126.05,0.008040502,0.00026866,0.006068047,0.005689339895287615,0.130001068,0,0,0,0.005926502167371478,-0.414936,0.0,0.0,-1.5364359412513977,368.81000000000495,-0.013055953241065812,0.10999999999999943,0.9400000000000013,-0.0007829621020236655,-0.005337125293229827,-0.007465510673990039,0.0007531384126795437,-0.005051597497852667,43.0,246.0
2023-04-13,40205.54,0.001979048,-0.004084465,-0.007083151,0.014513374119088969,-0.010000229,0,0,0,-0.0006954527498190251,-0.414936,0.0,0.0,24.031049578186582,292.54999999999563,-0.014898423101382433,0.030000000000001137,0.9400000000000013,0.008072913984299879,-0.0007829621020236655,-0.005337125293229827,0.01595633120704787,-0.0007908747993036203,44.0,247.0
2023-04-17,40246.66,0.001022222,0.013195495,0.013615924,-0.005823384495051386,-1.290000916,1,0,0,-0.03261063612086699,-0.414936,0.0,0.0,43.929081042353744,190.4300000000003,-0.016436023253181654,0.030000000000001137,0.9500000000000028,0.0019810073505863723,0.008072913984299879,-0.0007829621020236655,-0.007465510673990039,0.003826507245594968,45.0,248.0
2023-04-18,40448.05,0.004991416,0.003581723,0.004270693,0.0038860218670016666,-0.119998932,0,0,0,0.020362014044667972,-0.414936,0.0,0.0,69.3584545693871,263.2099999999991,-0.017504878050727996,0.019999999999999574,0.9600000000000009,0.0010227446267356832,0.0019810073505863723,0.008072913984299879,-0.005337125293229827,-0.0027731924562565125,46.0,249.0
2023-04-19,40499.34,0.001267243,0.000652047,-0.001254115,-0.0038860218670016345,-0.120000839,0,0,0,-0.0021149324413786107,-0.414936,0.0,0.0,87.18460307441899,242.81000000000495,-0.017685422361203487,0.0,0.9199999999999982,0.005003893490789002,0.0010227446267356832,0.0019810073505863723,-0.0007829621020236655,-0.005079982652250292,47.0,250.0
2023-04-20,41007.82,0.012477103,-0.000168833,-0.010090884,0.0004325358601748719,-0.370000839,0,0,0,-0.015222993098675905,-0.414936,0.0,0.0,128.2888076484079,587.3300000000017,-0.017278397096386313,0.0,0.9100000000000001,0.0012680462964220762,0.005003893490789002,0.0010227446267356832,0.008072913984299879,0.0007531384126795437,48.0,251.0
2023-04-26,41099.58,0.002235122,-0.0054722,-0.001522501,-0.01043259929149237,0.710000992,1,0,0,0.013916582157890347,-0.414936,0.0,0.0,154.94200346142108,356.0699999999997,-0.016091089654341986,-0.020000000000003126,0.8699999999999974,0.012555266332735293,0.0012680462964220762,0.005003893490789002,0.0019810073505863723,0.01595633120704787,49.0,251.0
2023-04-27,41463.91,0.008825508,-0.004244489,0.005744093,0.01259239442412559,0.079999924,0,0,0,0.0009534689687190237,-0.414936,0.0,0.0,188.18201883811687,437.66999999999825,-0.013740877899044029,-0.0400000000000027,0.8499999999999979,0.002237621995024419,0.012555266332735293,0.0012680462964220762,0.0010227446267356832,-0.007465510673990039,50.0,251.0
2023-04-28,41580.85,0.002816314,0.019712536,0.013447602,0.00021577254596166033,-1.809999466,0,0,0,-0.00017646383964531218,-0.414936,0.0,0.0,207.59127183876683,326.7699999999968,-0.011724691922036254,-0.05000000000000071,0.04999999999999716,0.008864567472465668,0.002237621995024419,0.012555266332735293,0.005003893490789002,-0.005337125293229827,51.0,248.0
2023-05-02,41927.64,0.008305551,0.008498768,0.005124107,-0.011498093162807269,-1.250000954,1,0,0,0.0,-0.414936,1.0,0.0,231.50955334251384,409.3000000000029,-0.009563994374810841,-0.019999999999999574,0.04999999999999716,0.002820283952960523,0.008864567472465668,0.002237621995024419,0.0012680462964220762,-0.0007829621020236655,52.0,249.0
2023-05-03,42087.93,0.003815726,-0.011302873,-0.009791547,0.0019617736622041526,1.700000763,0,0,0,0.0,-0.414936,1.0,0.0,244.5705193144692,255.87000000000262,-0.007312927950877493,-0.030000000000001137,0.04999999999999716,0.008340137346879661,0.002820283952960523,0.008864567472465668,0.012555266332735293,0.008072913984299879,53.0,250.0
2023-05-04,42093.8,0.00013946,-0.006887694,-0.001554533,-0.0015255467137541996,0.559999466,0,0,0,0.00017646383964529594,-0.414936,1.0,0.0,239.72950350199946,280.5400000000009,-0.0049347976048551715,0.0,0.04999999999999716,0.003823015080266945,0.008340137346879661,0.002820283952960523,0.002237621995024419,0.0019810073505863723,54.0,251.0
2023-05-05,42241.98,0.003514052,-0.007108051,0.008007029,0.016010763681154887,1.75,0,0,0,0.0003529419720665419,-0.414936,1.0,0.0,232.45714608148535,360.3899999999994,-0.002757380561426077,0.019999999999999574,0.00999999999999801,0.00013946991453384072,0.003823015080266945,0.008340137346879661,0.008864567472465668,0.0010227446267356832,55.0,251.0
2023-05-08,41829.49,-0.00981292,0.018343366,0.013289302,0.0004291943756858864,-2.899999619,1,0,0,-0.001412408076589853,-0.414936,0.0,0.0,187.7316334071288,621.7700000000041,-0.0007301793371982406,0.010000000000001563,-0.120000000000001,0.0035202333835386845,0.00013946991453384072,0.003823015080266945,0.002820283952960523,0.005003893490789002,56.0,251.0
2023-05-09,41373.81,-0.010953521,0.000266311,0.000507629,-0.003869314874867506,-0.210000992,0,0,0,0.0006358143494059435,-0.414936,0.0,0.0,118.6916306206254,552.6199999999953,0.0009912103265007526,0.019999999999999574,-0.28000000000000114,-0.009764930526457438,0.0035202333835386845,0.00013946991453384072,0.008340137346879661,0.0012680462964220762,57.0,251.0
2023-05-10,41074.95,-0.007249625,-0.004394871,-0.006108516,-0.001508776967615944,0.729999542,0,0,0,0.0028915261685625217,-0.414936,0.0,0.0,47.768331315903595,365.7699999999968,0.002591378115418122,0.019999999999999574,0.09999999999999787,-0.010893749840124811,-0.009764930526457438,0.0035202333835386845,0.003823015080266945,0.012555266332735293,58.0,251.0
2023-05-11,41325.63,0.006084442,0.004661417,-0.00051053,-0.004540037624703382,-0.76999855,0,0,0,0.0,-0.414936,0.0,0.0,14.344020068573002,423.8199999999997,0.0037064776816520453,0.0,0.00999999999999801,-0.007223410171797062,-0.010893749840124811,-0.009764930526457438,0.00013946991453384072,0.002237621995024419,59.0,184.0
2023-05-12,41487.58,0.003911217,-0.001745371,-0.003582608,-0.002169247878641819,-0.010000229,0,0,0,0.038678895916842405,-0.414936,0.0,0.0,0.48027145236289925,349.76000000000204,0.005146554078807939,-0.029999999999997584,-0.019999999999999574,0.006102989778441703,-0.007223410171797062,-0.010893749840124811,0.0035202333835386845,0.008864567472465668,60.0,185.0
2023-05-15,41716.26,0.005496876,-0.001311184,-0.011861843,0.008648735551125039,0.100000381,1,0,0,-0.04255654900175801,-0.414936,0.0,0.0,3.8609232242581584,406.0699999999997,0.006949685313300697,-0.019999999999999574,-0.03999999999999915,0.0039188755259147445,0.006102989778441703,-0.007223410171797062,-0.009764930526457438,0.002820283952960523,61.0,186.0
2023-05-16,41980.13,0.00630543,0.003444104,0.018250037,-0.01038744531232995,0.090000153,0,0,0,0.004933390643514543,-0.414936,0.0,0.0,20.10975549243608,365.3199999999997,0.009019115834080191,-0.04999999999999716,-0.04999999999999716,0.0055120110645161535,0.0039188755259147445,0.006102989778441703,-0.010893749840124811,0.008340137346879661,62.0,187.0
2023-05-17,41835.57,-0.003449476,-0.006704974,-0.007157492,0.005207168697375323,0.869998932,0,0,0,0.0014060614410082077,-0.414936,0.0,0.0,17.46144072659206,291.6900000000023,0.01045343647900305,-0.03999999999999915,-0.05000000000000071,0.0063253513138521456,0.0055120110645161535,0.0039188755259147445,-0.007223410171797062,0.003823015080266945,8.0,188.0
2023-05-18,41472.2,-0.008723611,0.012065745,0.004607257,-0.0019495328284763664,-1.119998932,0,0,0,-0.000702783594427396,-0.414936,0.0,0.0,-10.896151840895357,552.6299999999974,0.011476708492191139,-0.029999999999997584,-0.05000000000000071,-0.003443533881386185,0.0063253513138521456,0.0055120110645161535,0.006102989778441703,0.00013946991453384072,9.0,189.0
2023-05-19,41614.87,0.003434232,0.009587124,-0.005377043,0.006052819876152756,-0.820001602,0,0,0,0.0021067637605729937,-0.414936,0.0,0.0,-21.562144669486827,274.4599999999991,0.012679831550746035,0.00999999999999801,-0.0400000000000027,-0.008685671068901502,-0.003443533881386185,0.0063253513138521456,0.0039188755259147445,0.0035202333835386845,10.0,190.0
2023-05-22,41203.5,-0.009934351,-0.001456141,0.000769786,0.0008616351408634023,0.760000229,1,0,0,-0.005606149948358864,-0.414936,0.0,0.0,-55.8886505284471,534.7999999999956,0.013667404792867916,0.029999999999997584,-0.030000000000001137,0.003440135801814348,-0.008685671068901502,-0.003443533881386185,0.0055120110645161535,-0.009764930526457438,11.0,191.0
2023-05-23,41116.63,-0.002110542,0.000406072,0.008175852,-0.014095380595344303,0.399999619,0,0,0,0.008757943441252662,-0.414936,0.0,0.0,-82.40944196704143,196.95000000000437,0.014577750364926704,0.04999999999999716,0.0,-0.009885168450604387,0.003440135801814348,-0.008685671068901502,0.0063253513138521456,-0.010893749840124811,12.0,192.0
2023-05-24,41098.48,-0.000441525,-0.011286328,-0.015643541,-0.014296988794961588,1.320001602,0,0,0,0.0017467253349415786,-0.414936,0.0,0.0,-98.07412147253456,277.83000000000175,0.014805356470140807,0.05000000000000071,0.0,-0.0021083160411130564,-0.009885168450604387,0.003440135801814348,-0.003443533881386185,-0.007223410171797062,13.0,193.0
2023-05-25,41070.3,-0.000685905,-0.00727126,-0.007523448,-0.002217753709669394,1.5,0,0,0,0.0017436796048268374,-0.414936,0.0,0.0,-106.52979235874929,262.15000000000146,0.014912610353364511,0.05999999999999872,0.030000000000001137,-0.0004414272278636666,-0.0021083160411130564,-0.009885168450604387,-0.008685671068901502,0.006102989778441703,14.0,194.0
2023-05-26,41002.6,-0.001649753,0.008622815,-0.00208546,0.009281794126793773,-0.890001297,0,0,0,-0.005240186663556159,-0.414936,0.0,0.0,-112.30300719244968,364.75999999999476,0.014638352187104525,0.060000000000002274,0.060000000000002274,-0.0006856701269730703,-0.0004414272278636666,-0.0021083160411130564,0.003440135801814348,0.0039188755259147445,15.0,195.0
2023-05-29,41350.25,0.008442988,0.012867401,0.017589669,0.0,-1.189998627,1,0,0,-0.004720451102824251,-0.414936,0.0,0.0,-89.32964114225919,646.5400000000009,0.014576622563028682,0.060000000000002274,0.08000000000000185,-0.0016483931210632408,-0.0006856701269730703,-0.0004414272278636666,-0.009885168450604387,0.0055120110645161535,16.0,196.0
2023-05-30,41665.85,0.007603381,0.012867401,0.017589669,-0.008615968353806278,-1.189998627,0,0,0,-0.0013546621491525442,-0.414936,0.0,0.0,-51.384532721564284,343.22000000000116,0.014351590542666754,0.09000000000000341,0.11000000000000298,0.00847873061708282,-0.0016483931210632408,-0.0006856701269730703,-0.0021083160411130564,0.0063253513138521456,17.0,197.0
2023-05-31,41337.82,-0.007904029,0.000380934,-0.011605617,-0.009810527357553622,-0.490001678,0,0,0,0.006425335992193989,-0.414936,0.0,0.0,-47.002418737477484,587.1999999999971,0.013672563020796377,0.08999999999999986,0.120000000000001,0.007632360142925343,0.00847873061708282,-0.0016483931210632408,-0.0004414272278636666,-0.003443533881386185,18.0,198.0
2023-06-01,41273.72,-0.001551842,-0.005560661,-0.009382456,0.015342126852154105,0.48000145,0,0,0,-0.002103071567631544,-0.414936,0.0,0.0,-46.936133067854854,254.59000000000378,0.012967983280634759,0.060000000000002274,0.09000000000000341,-0.007872874308336386,0.007632360142925343,0.00847873061708282,-0.0006856701269730703,-0.008685671068901502,19.0,199.0
2023-06-02,41356.24,0.001997339,0.009456146,0.017649022,0.014675588622168105,-2.290000916,0,0,0,-0.004600194279180002,-0.414936,0.0,0.0,-40.11447696815887,166.02999999999884,0.01205288282276378,0.05000000000000071,0.09000000000000341,-0.0015506381323446838,-0.007872874308336386,0.007632360142925343,-0.0016483931210632408,0.003440135801814348,20.0,200.0
2023-06-05,41638.53,0.006802624,0.01435768,0.017090201,-0.0063257034534979235,-1.049999237,1,0,0,0.005278525187330254,-0.414936,0.0,0.0,-16.576004332975742,325.4400000000023,0.011666932316393621,0.0,0.07000000000000028,0.00199933517017592,-0.0015506381323446838,-0.007872874308336386,0.00847873061708282,-0.009885168450604387,21.0,201.0
2023-06-06,41912.88,0.006567238,-0.001918266,-0.000253,0.008714602308600345,0.129999161,0,0,0,0.0019497914981193264,-0.414936,0.0,0.0,15.737387233218627,388.4100000000035,0.011833822751787399,-0.10000000000000142,-0.00999999999999801,0.006825813952138882,0.00199933517017592,-0.0015506381323446838,0.007632360142925343,-0.0021083160411130564,22.0,202.0
2023-06-07,42119.22,0.00491099,0.00217521,0.008815064,-0.009590279143455832,-0.769999504,0,0,0,0.0008745081449325757,-0.414936,0.0,0.0,47.48069860060454,318.75,0.012495206632253519,-0.08999999999999986,0.010000000000001563,0.006588849318167611,0.006825813952138882,0.00199933517017592,-0.007872874308336386,-0.0004414272278636666,23.0,203.0
2023-06-08,41668.07,-0.010769041,-0.003463837,-0.004305385,0.010240882964367768,-0.020000458,0,0,0,0.0008737440485967712,-0.414936,0.0,0.0,35.134964008516064,658.2800000000061,0.012274673875531442,-0.07000000000000028,0.020000000000003126,0.004923068994542978,0.006588849318167611,0.006825813952138882,-0.0015506381323446838,-0.0006856701269730703,24.0,204.0
2023-06-09,41904.86,0.005666683,0.006030538,0.007081462,-0.00043366126871579507,-0.289999962,0,0,0,0.001570860598590041,-0.414936,0.0,0.0,39.624897320131026,263.76000000000204,0.01181469134622176,-0.05000000000000071,0.07000000000000028,-0.010711261984433729,0.004923068994542978,0.006588849318167611,0.00199933517017592,-0.0016483931210632408,25.0,205.0
2023-06-12,41772.33,-0.003167652,0.001792602,0.00452603,0.004543967220843156,0.180000305,1,0,0,-0.004543020945231775,-0.414936,0.0,0.0,30.772278631811872,313.83000000000175,0.011009812602339254,-0.010000000000001563,0.0799999999999983,0.005682768604353461,-0.010711261984433729,0.004923068994542978,0.006825813952138882,0.00847873061708282,26.0,206.0
2023-06-13,41536.16,-0.005669785,0.009030907,0.00200491,0.0096681548490277,1.180000305,0,0,0,0.005937213864407987,-0.414936,0.0,0.0,7.336676812375742,502.90000000000146,0.009754371064984755,0.03999999999999915,0.0799999999999983,-0.003162640323819188,0.005682768604353461,-0.010711261984433729,0.006588849318167611,0.007632360142925343,27.0,207.0
