Date,Price,Open,High,Low,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,Close,Volume,prev_close,daily_return,year,SPY_Close,VEA_Close,USDPKR_Close,SPY_Close_Log_Return,VEA_Close_Log_Return,USDPKR_Log_Return,annual_gdp_growth,cpi,kibor_rate
2021-03-09,44222.91,45051.06,45129.55,43946.3,-1.84,-0.018553311,-0.004991244,-0.027306104,25.46999931,0.809999466,1,0,0,0,44222.91,,,,2021,387.1700134277344,48.900001525878906,156.75,,,,6.513885759,143.61,7.66
2021-03-10,43691.68,44222.91,44424.04,43620.84,-1.2,-0.012085286,0.014176481,0.021717433,24.03000069,-1.439998627,1,0,0,0,43691.68,,44222.91,-0.01201255186508543,2021,389.5799865722656,49.11000061035156,156.64999389648438,0.006205293537590554,0.004285264794513937,-0.0006382010775854655,6.513885759,143.61,7.66
2021-03-11,42779.76,43691.68,43891.0,42689.42,-2.09,-0.021092601,0.006205241,-0.004493438,22.55999947,-1.470001221,1,0,0,0,42779.76,,43691.68,-0.020871708297781177,2021,393.5299987792969,49.470001220703125,156.6999969482422,0.010088099450077105,0.00730375743583374,0.00031915145136889267,6.513885759,143.61,7.87
2021-03-12,43788.08,42779.76,43986.18,42779.76,2.36,0.023296541,0.010088219,0.031038834,21.90999985,-0.649999619,1,0,0,0,43788.08,,42779.76,0.023570024703270853,2021,394.05999755859375,49.59000015258789,156.9499969482422,0.0013458750409823536,0.002422753662790586,0.0015941339570086869,6.513885759,143.61,7.89
2021-03-15,44766.59,43788.08,44839.19,43788.08,2.23,0.022100468,0.001345652,-0.017988675,20.69000053,-1.219999313,3,1,0,0,44766.59,,43788.08,0.02234649247009668,2021,396.4100036621094,49.709999084472656,155.32730102539062,0.005945862646910351,0.0024168981111818257,-0.01039275374085806,6.513885759,143.61,7.88
2021-03-16,44857.06,44766.59,44910.93,44545.43,0.2,0.002018887,0.005946083,0.002404774,20.03000069,-0.659999847,1,0,0,0,44857.06,,44766.59,0.0020209267670376896,2021,395.9100036621094,49.790000915527344,156.6999969482422,-0.0012621164725121602,0.0016080773526531721,0.008798619783849456,6.513885759,143.61,7.88
2021-03-17,45450.31,44857.06,45540.63,44857.06,1.32,0.013138652,-0.001262193,0.004240832,19.79000092,-0.239999771,1,0,0,0,45450.31,,44857.06,0.013225342900314851,2021,397.260009765625,50.04999923706055,156.39999389648438,0.0034040808005609087,0.005208311475817143,-0.0019163408006394396,6.513885759,143.61,7.89
2021-03-18,44724.09,45450.31,45612.95,44641.49,-1.6,-0.016107359,0.003403983,0.00128716,19.22999954,-0.560001373,1,0,0,0,44724.09,,45450.31,-0.01597832886068329,2021,391.4800109863281,49.56999969482422,155.75,-0.01465654612606892,-0.00963668464166266,-0.0041646314186114955,6.513885759,143.61,7.87
2021-03-19,44901.31,44724.09,45172.33,44393.28,0.4,0.003954688,-0.014656257,-0.018546441,21.57999992,2.350000381,1,0,0,0,44901.31,,44724.09,0.003962517739321214,2021,389.4800109863281,49.7400016784668,154.89999389648438,-0.00512191230295539,0.003423666244045675,-0.005472449647681812,6.513885759,143.61,7.84
2021-03-22,45407.33,44901.31,45465.13,44735.59,1.13,0.011206575,-0.001852206,0.01227928,20.95000076,-0.629999161,3,1,0,0,45407.33,,44901.31,0.011269604383480125,2021,392.5899963378906,49.529998779296875,154.4785919189453,0.007953256654126096,-0.004230950165653292,-0.002724184914329368,6.513885759,143.61,7.78
