Date,Price,Open,High,Low,Change %,Log_Return,SPY_Log_Return,EEM_Log_Return,VIX_Level,VIX_Change,Days_Since_Last_Trade,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,Close,Volume,prev_close,daily_return,year,SPY_Close,VEA_Close,USDPKR_Close,SPY_Close_Log_Return,VEA_Close_Log_Return,USDPKR_Log_Return,annual_gdp_growth,cpi,kibor_rate,normalized_volume,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,Golden_Cross,EMA_crossover,RSI_14,RSI_OB,RSI_OS,MACD_Line,MACD_Signal,MACD_Hist,ROC_5,BB_Upper,BB_Lower,BB_Middle,BB_Width,BB_Pct,True_Range,ATR_14,ATR_Pct,HV_20,Volume_SMA_20,Vol_Ratio,Volume_Median_20,Volume_Regime,Trend_Regime,Liquidity_Stress,kibor_rate_ma_5,kibor_rate_ma_20,kibor_rate_change_5,kibor_rate_change_20,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_10,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,rolling_max_close_63,drawdown_63,max_drawdown_63,days_since_high_63,rolling_max_close_252,drawdown_252,max_drawdown_252,days_since_high_252,target_next_close,target_next_log_return
2021-03-09,44222.91,45051.06,45129.55,43946.3,-1.84,-0.018553311,-0.004991244,-0.027306104,25.46999931,0.809999466,1,0,0,0,44222.91,,,,2021,387.1700134277344,48.900001525878906,156.75,,,,6.513885759,143.61,7.66,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,1183.25,,,,,,,,,,7.66,7.66,,,,,,,,,,,,,,,,,,,,,43691.68,-0.012085285631857842
2021-03-10,43691.68,44222.91,44424.04,43620.84,-1.2,-0.012085286,0.014176481,0.021717433,24.03000069,-1.439998627,1,0,0,0,43691.68,,44222.91,-0.01201255186508543,2021,389.5799865722656,49.11000061035156,156.64999389648438,0.006205293537590554,0.004285264794513937,-0.0006382010775854655,6.513885759,143.61,7.66,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,803.2000000000044,,,,,,,,,,7.66,7.66,,,44222.91,,,,,,,,,,,,,,,,,,42779.76,-0.021092601418890522
2021-03-11,42779.76,43691.68,43891.0,42689.42,-2.09,-0.021092601,0.006205241,-0.004493438,22.55999947,-1.470001221,1,0,0,0,42779.76,,43691.68,-0.020871708297781177,2021,393.5299987792969,49.470001220703125,156.6999969482422,0.010088099450077105,0.00730375743583374,0.00031915145136889267,6.513885759,143.61,7.87,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,1201.5800000000017,,,,,,,,,,7.73,7.73,,,43691.68,44222.91,,,,-0.01201255186508543,,,,,,,,,,,,,43788.08,0.023296540684857717
2021-03-12,43788.08,42779.76,43986.18,42779.76,2.36,0.023296541,0.010088219,0.031038834,21.90999985,-0.649999619,1,0,0,0,43788.08,,42779.76,0.023570024703270853,2021,394.05999755859375,49.59000015258789,156.9499969482422,0.0013458750409823536,0.002422753662790586,0.0015941339570086869,6.513885759,143.61,7.89,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,1206.4199999999983,,,,,,,,,,7.77,7.77,,,42779.76,43691.68,44222.91,,,-0.020871708297781177,-0.01201255186508543,,,,,,,,,,,,44766.59,0.022100468050643893
2021-03-15,44766.59,43788.08,44839.19,43788.08,2.23,0.022100468,0.001345652,-0.017988675,20.69000053,-1.219999313,3,1,0,0,44766.59,,43788.08,0.02234649247009668,2021,396.4100036621094,49.709999084472656,155.32730102539062,0.005945862646910351,0.0024168981111818257,-0.01039275374085806,6.513885759,143.61,7.88,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,1051.1100000000006,,,,,,,,,,7.792,7.792,,,43788.08,42779.76,43691.68,,,0.023570024703270853,-0.020871708297781177,-0.01201255186508543,,,,,,,,,,,44857.06,0.0020188874416281442
2021-03-16,44857.06,44766.59,44910.93,44545.43,0.2,0.002018887,0.005946083,0.002404774,20.03000069,-0.659999847,1,0,0,0,44857.06,,44766.59,0.0020209267670376896,2021,395.9100036621094,49.790000915527344,156.6999969482422,-0.0012621164725121602,0.0016080773526531721,0.008798619783849456,6.513885759,143.61,7.88,,,,,,,,,0.0,0.0,,0.0,0.0,,,,1.4339852352547533,,,,,,365.5,,,,,,,,,,7.836,7.8066666666666675,0.21999999999999975,,44766.59,43788.08,42779.76,44222.91,,0.02234649247009668,0.023570024703270853,-0.020871708297781177,,,,,,,,,,,45450.31,0.013138651564819095
2021-03-17,45450.31,44857.06,45540.63,44857.06,1.32,0.013138652,-0.001262193,0.004240832,19.79000092,-0.239999771,1,0,0,0,45450.31,,44857.06,0.013225342900314851,2021,397.260009765625,50.04999923706055,156.39999389648438,0.0034040808005609087,0.005208311475817143,-0.0019163408006394396,6.513885759,143.61,7.89,,,,,,,,,0.0,0.0,,0.0,0.0,,,,4.025091275959181,,,,,,683.5699999999997,,,,,,,,,,7.882,7.8185714285714285,0.22999999999999954,,44857.06,44766.59,43788.08,43691.68,,0.0020209267670376896,0.02234649247009668,0.023570024703270853,-0.01201255186508543,,,,,,,,,,44724.09,-0.016107358656831924
2021-03-18,44724.09,45450.31,45612.95,44641.49,-1.6,-0.016107359,0.003403983,0.00128716,19.22999954,-0.560001373,1,0,0,0,44724.09,,45450.31,-0.01597832886068329,2021,391.4800109863281,49.56999969482422,155.75,-0.01465654612606892,-0.00963668464166266,-0.0041646314186114955,6.513885759,143.61,7.87,,,,,,,,,0.0,0.0,,0.0,0.0,,,,4.544976409404811,,,,,,971.4599999999991,,,,,,,,,,7.882,7.825,0.0,,45450.31,44857.06,44766.59,42779.76,,0.013225342900314851,0.0020209267670376896,0.02234649247009668,-0.020871708297781177,,,,,,,,,,44901.31,0.003954687643683382
2021-03-19,44901.31,44724.09,45172.33,44393.28,0.4,0.003954688,-0.014656257,-0.018546441,21.57999992,2.350000381,1,0,0,0,44901.31,,44724.09,0.003962517739321214,2021,389.4800109863281,49.7400016784668,154.89999389648438,-0.00512191230295539,0.003423666244045675,-0.005472449647681812,6.513885759,143.61,7.84,,,,,,,,,0.0,0.0,,0.0,0.0,,,,2.5423128851504773,,,,,,779.0500000000029,,,,,,,,,,7.872,7.826666666666666,-0.04999999999999982,,44724.09,45450.31,44857.06,43788.08,,-0.01597832886068329,0.013225342900314851,0.0020209267670376896,0.023570024703270853,,,,,,,,,,45407.33,0.011206575490395762
2021-03-22,45407.33,44901.31,45465.13,44735.59,1.13,0.011206575,-0.001852206,0.01227928,20.95000076,-0.629999161,3,1,0,0,45407.33,,44901.31,0.011269604383480125,2021,392.5899963378906,49.529998779296875,154.4785919189453,0.007953256654126096,-0.004230950165653292,-0.002724184914329368,6.513885759,143.61,7.78,,44458.912,,,,44702.80433937816,,,0.0,0.0,,0.0,0.0,,,,1.4312906120390378,,,,,,729.5400000000009,,,,,,,,,,7.851999999999999,7.822,-0.09999999999999964,,44901.31,44724.09,45450.31,44766.59,,0.003962517739321214,-0.01597832886068329,0.013225342900314851,0.02234649247009668,,,,,,,,,,45544.19,0.0030095176704537023
2021-03-24,45544.19,45407.33,45593.61,45258.99,0.3,0.003009518,0.007953483,-0.002963183,18.87999916,-2.070001602,2,1,0,0,45544.19,,45407.33,0.0030140508151437206,2021,387.5199890136719,48.56999969482422,155.8000030517578,-0.012998368957987633,-0.019572471879975795,0.008517629918758853,6.513885759,143.61,7.77,,44591.03999999999,,,,44855.78355040031,,,0.0,0.0,,0.0,0.0,,,,1.531821300816416,,,,,,334.6200000000026,,,,,,,,,,7.83,7.8172727272727265,-0.11000000000000032,,45407.33,44901.31,44724.09,44857.06,44222.91,0.011269604383480125,0.003962517739321214,-0.01597832886068329,0.0020209267670376896,,,,,,,,,,45726.16,0.003987499579272066
2021-03-25,45726.16,45544.2,46000.11,45544.2,0.4,0.0039875,-0.005096245,-0.0231433,21.20000076,0.900001526,1,0,0,0,45726.16,,45544.19,0.003995460233237269,2021,389.70001220703125,48.880001068115234,155.8000030517578,0.005609811654462973,0.006362286640686439,0.0,6.513885759,143.61,7.87,,44794.488,,,,45014.03381396389,,,0.0,0.0,,0.0,0.0,,,,0.6069265534162538,,,,,,455.91999999999825,,,,,,,,,,7.825999999999999,7.821666666666666,-0.019999999999999574,,45544.19,45407.33,44901.31,45450.31,43691.68,0.0030140508151437206,0.011269604383480125,0.003962517739321214,0.013225342900314851,-0.01201255186508543,,,,,,,,,45521.63,-0.00448296539644733
2021-03-26,45521.63,45726.16,45757.56,45436.91,-0.45,-0.004482965,0.005609704,0.004633099,19.80999947,-1.390001297,1,0,0,0,45521.63,,45726.16,-0.0044729319059375605,2021,395.9800109863281,49.54999923706055,154.8000030517578,0.01598648900436745,0.013613908663507172,-0.006439172154485826,6.513885759,143.61,7.88,,45068.674999999996,,,,45106.32402960681,,,0.0,0.0,,0.0,0.0,,,,1.783244779267723,,,,,,320.6499999999942,,,,,,,,,,7.828,7.826153846153845,0.009999999999999787,,45726.16,45544.19,45407.33,44724.09,42779.76,0.003995460233237269,0.0030140508151437206,0.011269604383480125,-0.01597832886068329,-0.020871708297781177,,,,,,,,,44431.8,-0.024232168318860912
2021-03-29,44431.8,45521.63,45521.63,44315.43,-2.39,-0.024232168,0.01598643,0.025669129,18.86000061,-0.949998856,3,1,0,0,44431.8,,45521.63,-0.023940926544150476,2021,395.7799987792969,49.310001373291016,154.66000366210938,-0.0005052344367457635,-0.004855317292444767,-0.0009047980104833177,6.513885759,143.61,7.89,,45133.047000000006,,,,44983.68329695103,,,0.0,0.0,,0.0,0.0,,,,-1.0456487795122094,,,,,,1206.199999999997,795.8019663493637,1.791063981988944,,,,,,,,7.837999999999999,7.8307142857142855,0.04999999999999982,,45521.63,45726.16,45544.19,44901.31,43788.08,-0.0044729319059375605,0.003995460233237269,0.0030140508151437206,0.003962517739321214,0.023570024703270853,,,,,,,,,44491.03,0.001332166525951982
2021-03-30,44491.03,44431.8,44808.63,44199.26,0.13,0.001332167,-0.000505149,-0.006969845,20.73999977,1.879999161,1,0,0,0,44491.03,,44431.8,0.0013330542539351509,2021,394.7300109863281,49.25,153.85000610351562,-0.002656483529543106,-0.0012175604680888952,-0.005251041419431197,6.513885759,143.61,7.88,,45105.490999999995,,,,44894.10997023266,,,0.0,0.0,29.84885451543353,0.0,1.0,,,,-2.0179561317523076,,,,,,609.3699999999953,770.9443708361147,1.732808547781687,,,,,,,,7.858,7.8340000000000005,0.09999999999999964,,44431.8,45521.63,45726.16,45407.33,44766.59,-0.023940926544150476,-0.0044729319059375605,0.003995460233237269,0.011269604383480125,0.02234649247009668,,,,,,,,,44587.85,0.0021738045679585063
2021-03-31,44587.85,44491.03,45133.25,44477.9,0.22,0.002173805,-0.002656452,0.003208386,19.61000061,-1.129999161,1,0,0,0,44587.85,,44491.03,0.0021761689940646978,2021,396.3299865722656,49.11000061035156,152.8000030517578,0.004045148971267885,-0.002846675138690556,-0.006848244735252859,6.513885759,143.61,7.88,,45078.56999999999,,,,44838.426339281265,,,0.0,0.0,30.89465028365106,0.0,0.0,,,,-2.099806803019233,,,,,,655.3499999999985,755.5317880579659,1.6944790745863858,,,,,,,,7.88,7.836875,0.11000000000000032,,44491.03,44431.8,45521.63,45544.19,44857.06,0.0013330542539351509,-0.023940926544150476,-0.0044729319059375605,0.0030140508151437206,0.0020209267670376896,,,,,,,,,44428.1,-0.0035892482527220258
2021-04-01,44428.1,44587.85,44877.46,44334.22,-0.36,-0.003589248,0.0040451,0.005074859,19.39999962,-0.210000992,1,0,0,0,44428.1,,44587.85,-0.0035828146008385353,2021,400.6099853515625,49.75,152.32000732421875,0.010741185232806828,0.012947771125194386,-0.003146277577183601,6.513885759,145.0933163178972,7.88,,44976.349,,,,44763.82155032103,,,0.0,0.0,30.09738769089087,0.0,0.0,,,,-2.838768879783482,,,,,,543.239999999998,727.2262163169034,1.6368609423245726,,,,,,,,7.882,7.839411764705883,0.009999999999999787,,44587.85,44491.03,44431.8,45726.16,45450.31,0.0021761689940646978,0.0013330542539351509,-0.023940926544150476,0.003995460233237269,0.013225342900314851,,,,,,,,,44300.95,-0.002866030618733263
2021-04-02,44300.95,44428.1,44609.28,44197.9,-0.29,-0.002866031,0.010741182,0.009701463,17.32999992,-2.069999695,1,0,0,0,44300.95,,44428.1,-0.0028619274738285183,2021,400.6099853515625,49.75,152.60000610351562,0.0,0.0,0.0018365397197083822,6.513885759,145.0933163178972,7.88,,44934.035,,,,44679.6630866263,,,0.0,0.0,29.446051290935316,0.0,1.0,,,,-2.6815384247005247,,,,,,411.3799999999974,685.1133874746492,1.5464981845189534,,,,,,,,7.882,7.841666666666667,0.0,,44428.1,44587.85,44491.03,45521.63,44724.09,-0.0035828146008385353,0.0021761689940646978,0.0013330542539351509,-0.0044729319059375605,-0.01597832886068329,,,,,,,,,43548.21,-0.017137521244021972
2021-04-05,43548.21,44300.95,44431.24,43471.19,-1.7,-0.017137521,0.010741182,0.009701463,17.32999992,-2.069999695,3,1,0,0,43548.21,,44300.95,-0.01699150921142767,2021,406.3599853515625,50.5,153.25,0.014251081264420035,0.01496287267671232,0.0042504159691391825,6.513885759,145.0933163178972,7.87,,44798.725,,,,44473.94434360333,,,0.0,0.0,25.87590936144484,0.0,1.0,,,,-1.9886432690100375,,,,,,960.0499999999956,721.7716024780287,1.6574081976688106,,,,,,,,7.878,7.8431578947368426,-0.019999999999999574,,44300.95,44428.1,44587.85,44431.8,44901.31,-0.0028619274738285183,-0.0035828146008385353,0.0021761689940646978,-0.023940926544150476,0.003962517739321214,,,,,,,,,44404.7,0.01947671941930579
2021-04-06,44404.7,43548.21,44478.24,43548.21,1.97,0.019476719,0.014251006,0.003891459,17.90999985,0.579999924,1,0,0,0,44404.7,,43548.21,0.0196676281298358,2021,406.1199951171875,50.060001373291016,151.22190856933594,-0.0005907597654681743,-0.008751022844785556,-0.013322223622237978,6.513885759,145.0933163178972,7.87,,44698.462,44578.687,,,44461.35446294818,44522.89850574749,,0.0,0.0,35.46381385614765,0.0,0.0,,,,-0.19403911305267973,46087.83824174031,43069.535758259684,44578.687,0.0677072988596687,0.44235600939526654,930.0299999999988,749.5393888142914,1.687973094772156,,,,,,,,7.876,7.844499999999999,-0.009999999999999787,,43548.21,44300.95,44428.1,44491.03,45407.33,-0.01699150921142767,-0.0028619274738285183,-0.0035828146008385353,0.0013330542539351509,0.011269604383480125,,,,,,,,,43953.58,-0.01021124267766163
2021-04-07,43953.58,44404.7,44571.91,43758.05,-1.02,-0.010211243,-0.000590768,0.005533089,18.12000084,0.210000992,1,0,0,0,43953.58,,44404.7,-0.010159284940557956,2021,406.5899963378906,50.150001525878906,151.82774353027344,0.0011566272792055982,0.0017962313977146539,0.003998260772236708,6.513885759,145.0933163178972,7.85,,44539.401,44565.220499999996,,,44369.03183332123,44468.6776956763,,0.0,0.0,33.039690273144075,0.0,0.0,,,,-1.4225175692481162,46092.43726949624,43038.003730503755,44565.220499999996,0.06853850389885274,0.2997532137491699,813.8600000000006,758.1154703057193,1.7248093791352588,21.956457027543905,,,,,,,7.869999999999999,7.854000000000001,-0.03000000000000025,0.1899999999999995,44404.7,43548.21,44300.95,44587.85,45544.19,0.0196676281298358,-0.01699150921142767,-0.0028619274738285183,0.0021761689940646978,0.0030140508151437206,,,,,,,,,44741.36,0.0177642764402098
2021-04-08,44741.36,43953.58,44759.37,43953.58,1.79,0.017764276,0.001156743,-0.01482346,17.15999985,-0.960000992,1,0,0,0,44741.36,,43953.58,0.017922999673746665,2021,408.5199890136719,50.439998626708984,151.7998046875,0.004735548127749245,0.005765939036245719,-0.000184033649227738,6.513885759,145.0933163178972,7.84,,44440.920999999995,44617.70450000001,,,44436.72786362645,44494.64743894522,,0.0,0.0,40.66687232681942,0.0,0.0,,,,0.7050942984282438,46089.66833344408,43145.74066655593,44617.70450000001,0.06598115478774014,0.5420035795684826,805.7900000000009,764.4720742649569,1.7086473774265174,22.384791662502106,,,,,,,7.862,7.8629999999999995,-0.040000000000000036,0.17999999999999972,43953.58,44404.7,43548.21,44428.1,45726.16,-0.010159284940557956,0.0196676281298358,-0.01699150921142767,-0.0035828146008385353,0.003995460233237269,,,,,,,,,45186.48,0.0098995735958631
2021-04-09,45186.48,44741.36,45249.61,44741.36,0.99,0.009899574,0.004735686,0.00818007,16.95000076,-0.209999084,1,0,0,0,45186.48,,44741.36,0.009948736471131037,2021,411.489990234375,50.560001373291016,151.44224548339844,0.007243848936019295,0.0023762931297229128,-0.002358243981059409,6.513885759,145.0933163178972,7.84,,44407.406,44738.0405,,,44573.04643387618,44560.53625428377,,0.0,1.0,44.51276022459336,0.0,0.0,,,,1.9988961861991728,45947.43954863576,43528.641451364245,44738.0405,0.05406580329041268,0.685397657004053,508.25,730.3091310296293,1.616211599198763,20.950920530066856,,,,,,,7.853999999999999,7.8614999999999995,-0.040000000000000036,-0.03000000000000025,44741.36,43953.58,44404.7,44300.95,45521.63,0.017922999673746665,-0.010159284940557956,0.0196676281298358,-0.0028619274738285183,-0.0044729319059375605,,,,,,,,,44978.05,-0.004623334059847954
2021-04-12,44978.05,45186.48,45267.06,44758.34,-0.46,-0.004623334,0.007243737,-0.00855354,16.69000053,-0.260000229,3,1,0,0,44978.05,,45186.48,-0.004612662902709008,2021,411.6400146484375,50.290000915527344,152.5,0.0003645218005266528,-0.005354508611380589,0.006960261711433937,6.513885759,145.0933163178972,7.85,,44462.031,44797.539,,,44646.68344589869,44600.2994681615,,0.0,1.0,43.103850238068794,0.0,0.0,,,,3.2833496485848768,45924.43010836011,43670.647891639885,44797.539,0.05031040246921209,0.5800924768421907,508.72000000000116,700.7639135590122,1.5580131054125559,19.618653301258632,,,,,,,7.85,7.8595,-0.020000000000000462,-0.040000000000000036,45186.48,44741.36,43953.58,43548.21,44431.8,0.009948736471131037,0.017922999673746665,-0.010159284940557956,-0.01699150921142767,-0.023940926544150476,,,,,,,,,45048.57,0.0015666480519563126
2021-04-13,45048.57,45009.78,45133.41,44887.03,0.16,0.001566648,0.000364443,-0.00599361,16.90999985,0.219999313,1,0,0,0,45048.57,,44978.05,0.0015678758861266129,2021,412.8599853515625,50.630001068115234,152.60000610351562,0.002959300408599511,0.0067380386894751775,0.000655562799715265,6.513885759,145.0933163178972,7.83,,44517.784999999996,44811.638,,,44719.753728462565,44642.99189976517,,0.0,1.0,43.752541996736745,0.0,0.0,,,,1.450004166225649,45943.941664340055,43679.33433565994,44811.638,0.05053614261277642,0.604623877614179,246.38000000000466,640.1793917511445,1.4210870439420042,18.02614652575843,,,,,,,7.8420000000000005,7.856999999999999,-0.040000000000000036,-0.04999999999999982,44978.05,45186.48,44741.36,44404.7,44491.03,-0.004612662902709008,0.009948736471131037,0.017922999673746665,0.0196676281298358,0.0013330542539351509,,,,,,,,,45311.22,0.005813442897822641
2021-04-14,45311.22,45048.57,45347.4,45048.57,0.58,0.005813443,0.002959547,0.004124563,16.64999962,-0.260000229,1,0,0,0,45311.22,,45048.57,0.00583037374993256,2021,411.45001220703125,50.68000030517578,152.60000610351562,-0.0034209812420000177,0.0009870543962532368,0.0,6.513885759,145.0933163178972,7.83,,44590.122,44834.346000000005,,,44827.293050560285,44706.63267121611,,0.0,1.0,46.212277679579216,0.0,0.0,135.38609657695633,,,3.088804142916235,45988.49056776484,43680.20143223517,44834.346000000005,0.051484840116317834,0.7065919700698889,298.83000000000175,594.6661395176588,1.3124037258711172,18.123804684221515,,,,,,,7.837999999999999,7.8545,-0.019999999999999574,-0.04999999999999982,45048.57,44978.05,45186.48,43953.58,44587.85,0.0015678758861266129,-0.004612662902709008,0.009948736471131037,-0.010159284940557956,0.0021761689940646978,,,,,,,,,45230.18,-0.0017901207986904001
2021-04-15,45230.18,45311.22,45447.49,45174.89,-0.18,-0.001790121,-0.00342116,0.00503879,16.98999977,0.340000153,1,0,0,0,45230.18,,45311.22,-0.0017885194881090971,2021,415.8699951171875,51.06999969482422,152.60000610351562,0.010685163961720182,0.007665873209355727,0.0,6.513885759,145.0933163178972,7.8,,44670.33,44823.3395,,,44900.54522318568,44756.49432157648,,0.0,1.0,45.5503899182564,0.0,0.0,160.19479239533393,,,1.0925461362819577,45956.76338048873,43689.915619511274,44823.3395,0.05057293334820482,0.6794741168787489,272.59999999999854,551.7239875819708,1.2198138225007527,17.507671256306175,,,,,,,7.83,7.85,-0.040000000000000036,-0.08999999999999986,45311.22,45048.57,44978.05,44741.36,44428.1,0.00583037374993256,0.0015678758861266129,-0.004612662902709008,0.017922999673746665,-0.0035828146008385353,,,,,,,,,45305.63,0.001666744185906035
2021-04-16,45305.63,45230.18,45471.35,45230.18,0.17,0.001666744,0.010685091,0.00907999,16.56999969,-0.420000076,1,0,0,0,45305.63,,45230.18,0.0016681339760309388,2021,417.260009765625,51.369998931884766,152.5500030517578,0.0033368524241360826,0.00585708900267305,-0.00032772767953556425,6.513885759,145.0933163178972,7.77,,44770.797999999995,44852.41650000001,,,44974.19700078828,44808.79295761682,,0.0,1.0,46.32124704095003,0.0,0.0,183.8250265277311,,,0.26368506686069715,46004.79895347858,43700.03404652143,44852.41650000001,0.05138552360845817,0.6966419649274957,241.16999999999825,510.31678923770784,1.126387138282169,16.47803514263483,,,,,,,7.816,7.845000000000001,-0.07000000000000028,-0.10000000000000053,45230.18,45311.22,45048.57,45186.48,44300.95,-0.0017885194881090971,0.00583037374993256,0.0015678758861266129,0.009948736471131037,-0.0028619274738285183,,,,,,,,,44913.57,-0.008691331068988046
