Date,Log_Return,SPY_Log_Return,EEM_Log_Return,VEA_Close_Log_Return,VIX_Change,Is_Post_Holiday,Is_IMF_Event,IMF_3Day_Window,USDPKR_Log_Return,annual_gdp_growth,EMA_crossover,RSI_OB,RSI_OS,MACD_Hist,True_Range,kibor_rate_change_5,kibor_rate_change_20,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,days_since_high_63,drawdown_252,target_next_log_return
2021-03-09,-0.018553311,-0.004991244,-0.027306104,,0.809999466,0,0,0,,6.513885759,0.0,0.0,0.0,,1183.25,,,,,,,,,,-0.012085285631857842
2021-03-10,-0.012085286,0.014176481,0.021717433,0.004285264794513937,-1.439998627,0,0,0,-0.0006382010775854655,6.513885759,0.0,0.0,0.0,,803.2000000000044,,,,,,,,,,-0.021092601418890522
2021-03-11,-0.021092601,0.006205241,-0.004493438,0.00730375743583374,-1.470001221,0,0,0,0.00031915145136889267,6.513885759,0.0,0.0,0.0,,1201.5800000000017,,,-0.01201255186508543,,,,,,,0.023296540684857717
2021-03-12,0.023296541,0.010088219,0.031038834,0.002422753662790586,-0.649999619,0,0,0,0.0015941339570086869,6.513885759,0.0,0.0,0.0,,1206.4199999999983,,,-0.020871708297781177,-0.01201255186508543,,,,,,0.022100468050643893
2021-03-15,0.022100468,0.001345652,-0.017988675,0.0024168981111818257,-1.219999313,1,0,0,-0.01039275374085806,6.513885759,0.0,0.0,0.0,,1051.1100000000006,,,0.023570024703270853,-0.020871708297781177,-0.01201255186508543,,,,,0.0020188874416281442
2021-03-16,0.002018887,0.005946083,0.002404774,0.0016080773526531721,-0.659999847,0,0,0,0.008798619783849456,6.513885759,0.0,0.0,0.0,,365.5,0.21999999999999975,,0.02234649247009668,0.023570024703270853,-0.020871708297781177,,,,,0.013138651564819095
2021-03-17,0.013138652,-0.001262193,0.004240832,0.005208311475817143,-0.239999771,0,0,0,-0.0019163408006394396,6.513885759,0.0,0.0,0.0,,683.5699999999997,0.22999999999999954,,0.0020209267670376896,0.02234649247009668,0.023570024703270853,-0.01201255186508543,,,,-0.016107358656831924
2021-03-18,-0.016107359,0.003403983,0.00128716,-0.00963668464166266,-0.560001373,0,0,0,-0.0041646314186114955,6.513885759,0.0,0.0,0.0,,971.4599999999991,0.0,,0.013225342900314851,0.0020209267670376896,0.02234649247009668,-0.020871708297781177,,,,0.003954687643683382
2021-03-19,0.003954688,-0.014656257,-0.018546441,0.003423666244045675,2.350000381,0,0,0,-0.005472449647681812,6.513885759,0.0,0.0,0.0,,779.0500000000029,-0.04999999999999982,,-0.01597832886068329,0.013225342900314851,0.0020209267670376896,0.023570024703270853,,,,0.011206575490395762
2021-03-22,0.011206575,-0.001852206,0.01227928,-0.004230950165653292,-0.629999161,1,0,0,-0.002724184914329368,6.513885759,0.0,0.0,0.0,,729.5400000000009,-0.09999999999999964,,0.003962517739321214,-0.01597832886068329,0.013225342900314851,0.02234649247009668,,,,0.0030095176704537023
